config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL;0;4575;2925;0.61;0.8730124288268105;2594;1535;0.6282392831193994;0.8742302793011191;1371;252;0.844731977818854;0.964904867868321;610;1138;0.3489702517162471;0.8934087446379997;137364;814221;0.14435284288844402;0.8002698915283483;68916;395993;0.14823546113325403;0.8536280762068496;50262;97242;0.340750081353726;0.9419943811925486;18186;320986;0.053618812873704194;0.8778495234054418;180446;3399;0.9815115994451848;0.9956187806945437;248927;241970;0.5070860078590824;0.8840130692474157;0:42:52.840845
sim_mode:SimMode.EQUAL_kb_heuristics:True;0;2705;843;0.7624013528748591;0.9266549816055571;1554;512;0.7521781219748306;0.945126698278181;959;150;0.8647430117222723;0.9742734186325288;192;181;0.514745308310992;0.9716841538875439;87187;216353;0.2872339724583251;0.8978793771296902;43253;122951;0.2602404274265361;0.9352576546664949;38124;49788;0.43366093366093367;0.9629713188163449;5810;43614;0.1175542246681774;0.9651447391263216;106324;1411;0.9869030491483733;0.9976912814491834;139801;92253;0.6024502917424392;0.9429735198107353;0:41:31.484959
sim_mode:SimMode.EQUAL_split_loops:True;0;4567;2904;0.6112970151251506;0.8726615133966982;2597;1524;0.630186847852463;0.8745178349033383;1358;251;0.8440024860161591;0.9651168238126105;612;1129;0.35152211372774267;0.8947714443728743;105785;733555;0.12603355017037196;0.7979481576716249;55427;334573;0.14212051282051283;0.8537439913695014;32060;79701;0.2868621433236997;0.9424643421052524;18298;319281;0.05420360863679317;0.8791416937400901;165310;3313;0.9803526209354596;0.9954021185971857;229790;239382;0.48977773609678327;0.8819391193278152;0:36:34.537984
sim_mode:SimMode.EQUAL_split_loops:True_kb_heuristics:True;0;2671;843;0.7601024473534433;0.9271394676913574;1535;505;0.7524509803921569;0.9451207633839427;951;150;0.8637602179836512;0.9750294148334404;185;188;0.4959785522788204;0.9708602367500674;62923;181339;0.2576045393880342;0.8979140556117489;34076;101807;0.2507745634111699;0.935720027245909;23326;34377;0.4042424137393203;0.9655421319912812;5521;45155;0.10894703607230247;0.9648157617739898;87653;1327;0.9850865363002922;0.9975304223042225;116065;88106;0.5684695671765334;0.9424153634809606;0:37:39.849828
sim_mode:SimMode.EQUAL_kb_heuristics:True_min_support:10;0;1646;726;0.693929173693086;0.9302584989151278;976;469;0.6754325259515571;0.9560080103512307;523;98;0.8421900161030595;0.9780131826741997;147;159;0.4803921568627451;0.9763535781544255;53567;185986;0.22361231126306078;0.9099300551703953;30599;110619;0.21667917687546914;0.948809587414837;18130;35891;0.3356102256529868;0.9727307344555686;4838;39476;0.10917542988671751;0.9731750377820165;82541;1305;0.9844357512582592;0.997958460694;108494;80718;0.5733991501596093;0.9506459004897267;0:36:55.083710
sim_mode:SimMode.SYNONYM;0;6793;5317;0.5609413707679604;0.8171460493502484;2871;2067;0.5814094775212637;0.8363472316212155;2785;725;0.7934472934472935;0.9249572758485546;1137;2525;0.3104860731840524;0.7991917847939911;202969;1603548;0.11235377248041396;0.6895625762048382;75852;539185;0.12332916556239706;0.8066767297286543;91969;341040;0.21239512342699574;0.8606174426595585;35148;723323;0.04634059838807285;0.7674197003381228;276292;12730;0.9559549100068507;0.992343631363007;380579;410871;0.4808629730241961;0.8181780783164491;0:39:07.436984
sim_mode:SimMode.SYNONYM_split_loops:True;0;6754;5295;0.560544443522284;0.8164775456266221;2868;2053;0.5828083722820565;0.8382645897160664;2745;732;0.7894736842105263;0.9235536617778008;1141;2510;0.31251711859764447;0.7984265812438868;157066;1466568;0.09673731887851572;0.6830819757625531;61264;449406;0.11996788532711927;0.8079234853556935;60752;295325;0.17061478275766195;0.8561500890206197;35050;721837;0.04630810147353568;0.7663879288866218;259633;10303;0.9618316934384447;0.9921150840530819;359840;404997;0.47047933089011124;0.81510695060518;0:39:10.188616
sim_mode:SimMode.SYNONYM_kb_heuristics:True;0;4439;2108;0.6780204673896442;0.8830918793571375;1785;855;0.6761363636363636;0.9158944006401634;2153;442;0.8296724470134875;0.942568162094848;501;811;0.38185975609756095;0.907978754708098;138599;626735;0.1810960966061876;0.8135438167738422;48869;210117;0.1886935973373078;0.9001164266265075;73415;196046;0.27245130093037584;0.9040735407143426;16315;220572;0.06887250039048154;0.8905687555775269;180736;9988;0.9476311318974014;0.9949599071221656;239028;210339;0.5319215696746757;0.8924613491796878;0:41:59.623645
sim_mode:SimMode.SYNONYM_match_one:True;0;6156;4594;0.5726511627906977;0.8312676605574212;2833;1935;0.5941694630872483;0.8485267164195284;2296;503;0.8202929617720615;0.9431469238423847;1027;2156;0.3226515865535658;0.8263019712844037;185006;1346206;0.12082324328701709;0.7178176814796986;74755;505545;0.12882129932793382;0.8210497230337175;78883;216041;0.2674689072439001;0.897566704775619;31368;624620;0.047817947889290655;0.8005705297311719;248591;6213;0.9756165523304187;0.9930865998434614;342870;359469;0.4881830568998731;0.8353220836188952;0:39:06.286070
sim_mode:SimMode.SYNONYM_match_one:True_kb_heuristics:True;0;3920;1663;0.7021314705355544;0.8925621505003761;1754;763;0.6968613428684942;0.9243133237649689;1762;300;0.8545101842870999;0.9548488703777249;404;600;0.40239043824701193;0.9239200800376646;123662;476386;0.2060868463856225;0.8320201921708951;47442;188108;0.2014094672044152;0.9091243435003648;63008;125929;0.33348682365021143;0.9276925424042848;13212;162349;0.07525589396278216;0.9119387486708347;159345;3575;0.9780567149521238;0.9955628835764875;212250;176437;0.5460692022115481;0.9036505082553976;0:39:09.807777
